file,num_elements,power_mean_us,tim_mean_us,atim_mean_us,apower_mean_us,ratio_power_tim,ratio_apower_atim
TrackA/235,500501,1994.68,2125.32,4602.14,4534.37,0.938533,0.985273
TrackA/236,1001001,4057.32,4160.6,9103.96,9101.6,0.975178,0.999741
TrackA/237,300,10.3796,9.77775,13.4122,12.1047,1.06155,0.902517
TrackA/238,24,0.24981,0.24475,0.38314,0.37445,1.02067,0.977319
TrackA/24,1025,43.1586,35.3807,48.3001,45.0553,1.21984,0.932819
TrackA/25,71,1.67523,1.56896,1.68963,1.61989,1.06773,0.958725
TrackA/26,71,1.11091,1.08814,1.56753,1.71032,1.02093,1.09109
TrackA/27,100000,5976.48,5936.75,7273.23,7304.8,1.00669,1.00434
TrackA/28,1000,34.2775,35.1879,42.2953,49.0753,0.974129,1.1603
TrackA/29,1025,40.2238,37.6156,42.2943,49.8595,1.06934,1.17887
TrackA/3,1,0.02937,0.02662,0.04796,0.04114,1.10331,0.857798
TrackA/30,1025,44.1731,34.9981,48.499,46.9877,1.26216,0.968839
TrackA/31,10000,595.812,591.234,760.147,750.188,1.00774,0.986899
TrackA/32,3,0.05148,0.03718,0.06479,0.06336,1.38462,0.977929
TrackA/33,10,0.05181,0.04268,0.10242,0.10307,1.21392,1.00635
TrackA/34,1000001,1394.29,1351.54,5991.35,5892.12,1.03163,0.983437
TrackA/35,1000002,1671.07,1531.86,6953.18,6962.66,1.09087,1.00136
TrackA/36,1000003,1524.65,1568.65,6790.68,6581.95,0.971945,0.969262
TrackA/37,1000004,1404.45,1352.39,6579.6,7527.47,1.0385,1.14406
TrackA/38,1000004,1986.46,1823.56,8259.91,7662.96,1.08933,0.927729
TrackA/39,1000005,1516.03,1734.47,8884.36,7632.57,0.87406,0.859102
TrackA/40,1025,35.8543,33.2276,41.8567,62.896,1.07905,1.50265
TrackA/41,9500,1252.88,748.095,1139.12,1295.73,1.67476,1.13749
TrackA/42,495,4.29644,2.56141,5.64183,5.05636,1.67737,0.896227
TrackA/43,384,1.16984,1.46705,3.11341,3.03803,0.79741,0.975789
TrackA/44,9,0.07604,0.07525,0.11736,0.11509,1.0105,0.980658
TrackA/45,5760,22.4808,24.2,56.918,63.2349,0.928959,1.11098
TrackA/46,10880,44.9446,45.9608,115.951,109.399,0.97789,0.943493
TrackA/47,10880,70.4394,79.7306,160.99,90.0441,0.883468,0.559314
TrackA/48,7040,20.474,24.269,67.4999,72.0028,0.843626,1.06671
TrackA/49,576,2.18494,2.25756,4.72869,4.717,0.967833,0.997528
TrackA/5,52632,4143.73,4470.45,4715.47,4766.33,0.926916,1.01078
TrackA/50,704,3.24251,5.5681,14.6866,9.85278,0.582337,0.670868
TrackA/51,832,2.7729,2.88441,9.12076,7.97817,0.96134,0.874726
TrackA/52,1216,5.26913,5.44317,10.7223,9.70937,0.968026,0.905526
TrackA/53,640,3.27979,3.98085,7.19519,6.10732,0.823892,0.848806
TrackA/54,5,0.04459,0.0382,0.07275,0.07257,1.16728,0.997526
TrackA/55,1000,54.7935,41.5438,50.9089,53.1188,1.31893,1.04341
TrackA/56,1497,55.7044,42.1729,72.5307,61.3937,1.32086,0.846452
TrackA/57,1000,34.1491,33.4905,46.4179,51.6687,1.01967,1.11312
TrackA/58,1497,44.7754,37.6017,61.1641,62.2784,1.19078,1.01822
TrackA/59,1000,37.8002,43.0043,41.456,69.3807,0.878986,1.6736
TrackA/6,52643,3861.14,3823.55,4641.91,5144.84,1.00983,1.10834
TrackA/60,1000,42.2127,43.7726,73.6771,49.444,0.964363,0.67109
TrackA/61,1000,31.1664,35.1138,33.4551,36.4698,0.887582,1.09011
TrackA/62,1000,29.3972,34.4756,23.9162,28.4387,0.852696,1.1891
TrackA/63,1000,20.965,22.6856,32.1746,28.286,0.924152,0.879142
TrackA/64,1000,22.6426,21.7462,30.146,25.9651,1.04122,0.861313
TrackA/65,10000,454.902,457.596,585.324,601.595,0.994113,1.0278
TrackA/66,10000,356.176,361.003,476.5,438.558,0.986627,0.920374
TrackA/67,10000,370.802,396.682,491.904,504.489,0.934758,1.02558
TrackA/68,10000,376.397,359.852,478.96,475.867,1.04598,0.993541
TrackA/69,9999,680.426,711.735,863.159,861.637,0.956009,0.998237
TrackA/70,9999,686.295,726.094,832.543,854.464,0.945187,1.02633
TrackA/71,9999,578.878,571.325,777.623,847.955,1.01322,1.09044
TrackA/72,640,2.99303,3.59441,7.86477,7.82767,0.83269,0.995283
TrackA/73,640,4.296,4.16421,8.11549,8.28878,1.03165,1.02135
TrackA/74,6400,38.2657,32.942,70.0201,99.3927,1.16161,1.41949
TrackA/75,4232,227.893,228.339,270.596,318.687,0.998047,1.17772
TrackA/76,4232,301.021,270.052,403.725,367.561,1.11468,0.910425
TrackA/77,2060,148.116,168.787,172.239,137.081,0.877531,0.795877
TrackA/78,2060,150.481,144.529,104.519,101.524,1.04118,0.97134
TrackA/79,1088,4.28887,4.59621,9.315,8.83904,0.933132,0.948904
TrackA/8,69,1.3301,1.42759,1.66882,1.73108,0.93171,1.03731
TrackA/80,10880,71.9455,112.009,134.656,151.845,0.642319,1.12764
TrackA/81,10880,45.2711,42.7839,125.721,125.693,1.05813,0.999774
TrackA/82,12160,98.4508,65.9488,240.733,182.751,1.49284,0.759147
TrackA/83,1088000,9774.26,9916.25,15156.6,15287.5,0.985681,1.00863
TrackA/84,2309,104.215,112.684,131.523,158.828,0.924843,1.2076
TrackA/85,1088000,6935.36,8551.31,16147.3,13805,0.811029,0.85494
TrackA/86,1183,7.0845,6.28315,13.8917,15.516,1.12754,1.11693
TrackA/87,229,3.62472,3.75668,4.73836,4.86507,0.964873,1.02674
TrackA/88,179,2.31681,2.40301,3.53496,3.35658,0.964128,0.949538
TrackA/89,229,4.07779,4.33887,5.40544,4.33604,0.939828,0.802162
TrackA/9,1025,43.1169,44.1075,54.1112,61.7462,0.977542,1.1411
TrackA/90,205,2.49368,2.82276,3.44036,5.11194,0.883419,1.48587
TrackA/91,221,3.89861,4.21343,5.61177,5.09623,0.925282,0.908132
TrackA/92,217,3.23002,3.48844,4.81731,4.68051,0.925921,0.971602
TrackA/93,179,2.31194,2.02009,3.44034,3.83302,1.14447,1.11414
TrackA/94,207,4.15577,4.16349,5.20327,5.63719,0.998146,1.08339
TrackA/95,2065,100.515,97.0723,144.738,126.306,1.03547,0.872653
TrackA/96,22041,1691.99,1756.47,2171.86,2087.15,0.963293,0.960998
TrackA/97,20676,1708.71,1615.55,2133.89,2070.95,1.05766,0.970505
TrackA/98,20000,1893.58,1646.98,1720.75,1624.19,1.14973,0.943889
TrackA/99,704,3.55101,4.4532,11.9043,10.4545,0.797406,0.878213
